message,sending_time,sender,status,price,sent,viewed,purchased,earnings,withdrawn_by,message_id,source_file,loaded_at
Could you handle me if I crawled on top of you right now? I’d ride you until neither of us could breathe 😈,"Sep 14, 2025 at 12:13 AM",SD Mochi,sent,-,50312,63,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"✨ 𝒴𝑜𝓊’𝓇𝑒 𝒶𝓁𝓇𝑒𝒶𝒹𝓎 𝓇𝑜𝒸𝓀 𝒽𝒶𝓇𝒹 𝓉𝒽𝒾𝓃𝓀𝒾𝓃𝑔 𝒶𝒷𝑜𝓊𝓉 𝒾𝓉, 𝒶𝓇𝑒𝓃’𝓉 𝓎𝑜𝓊? 🤭
I know you love a good c*ck tease, and I’m having way too much fun making you wait for it…
💦 𝒃𝒖𝒕 𝒉𝒐𝒘 𝒍𝒐𝒏𝒈 𝒄𝒂𝒏 𝒚𝒐𝒖 𝒓𝒆𝒂𝒍𝒍𝒚 𝒍𝒂𝒔𝒕 𝒃𝒆𝒇𝒐𝒓𝒆 𝒚𝒐𝒖 𝒈𝒊𝒗𝒆 𝒊𝒏 𝒂𝒏𝒅 𝒖𝒏𝒍𝒐𝒄𝒌?","Sep 13, 2025 at 11:56 PM",SD Mochi,sent,5.00,50346,88,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
Strip poker tonight? I already lost everything but my panties. Wanna see?👄,"Sep 13, 2025 at 11:09 PM",SD Mochi,sent,-,50312,134,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"⏳ ngl… I need to cum every 4hrs 🥺💦
Can u help me out daddyy??
𝑂𝑟 𝑖𝑠 𝑡ℎ𝑖𝑠 𝑛𝑜𝑡 𝑔𝑜𝑛𝑛𝑎 𝑤𝑜𝑟𝑘 𝑜𝑢𝑡 𝑏𝑒𝑡𝑤𝑒𝑒𝑛 𝑢𝑠? 😏
Unlock this if you wanna see me get wet for u …","Sep 13, 2025 at 09:59 PM",SD Mochi,sent,9.00,50347,190,1,9.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"Imagine me blindfolded, waiting for you to do anything. What would you do first? 😈","Sep 13, 2025 at 09:12 PM",SD Mochi,sent,-,50313,221,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"I’d kiss your chest, bite your lip, then make you moan my name. Can you imagine it? 😈","Sep 13, 2025 at 08:20 PM",SD Mochi,sent,-,50315,263,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🚨⚠️ W A R N I N G ⚠️🚨
TOO FILTHY TO REMAIN ON PLATFORM FOR MORE THAN 3 HOURS😳
⏳ Once it’s gone, it’s GONE. ⏳
💦 𝙻𝚊𝚜𝚝 𝚌𝚑𝚊𝚗𝚌𝚎 𝚝𝚘 𝚜𝚎𝚎 𝚠𝚑𝚊𝚝 𝙸 𝚍𝚒𝚍 𝚝𝚘𝚗𝚒𝚐𝚑𝚝…","Sep 13, 2025 at 07:48 PM",SD Mochi,sent,13.00,50350,286,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
Wish I could cuddle in your lap right now. Or maybe grind instead of cuddle 👅,"Sep 13, 2025 at 06:22 PM",SD Mochi,sent,-,50318,337,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"✧ I was a lil too freaky today… NGL 😳💦
You ever do something &amp; think, damn… that was FREAKY af ??
That was me today.
Are you brave enough to see what I mean? 😈","Sep 13, 2025 at 06:09 PM",SD Mochi,sent,11.00,50353,350,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"Guess my favorite sex position, daddy🥰 if you get it right, I’ll spoil you with 90% OFF my LIFETIME VIP Just imagine how nasty I’ll show it to you inside😘💕","Sep 13, 2025 at 05:56 PM",Julius Garcia,unsent,-,50655,166,0,0.0,Julius Garcia,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
